packets,bytes,port,protocol,bytes_per_packet,label
9,9777.15,3306,TCP,1086.35,Normal
118,19445.22,22,TCP,164.79,Suspicious
39,35144.46,8080,TCP,901.14,Normal
1,653.2,53,TCP,653.2,Normal
54,31443.12,443,TCP,582.28,Normal
49,33134.29,3306,TCP,676.21,Normal
14,14501.48,8080,TCP,1035.82,Normal
1127,31274.25,23,TCP,27.75,Malicious
39,24956.1,443,UDP,639.9,Normal
875,22890.0,445,ICMP,26.16,Malicious
1449,46208.61,8080,TCP,31.89,Malicious
1152,64396.8,8080,UDP,55.9,Malicious
1,737.18,443,TCP,737.18,Normal
873,11864.07,23,UDP,13.59,Malicious
2262,66864.72,23,UDP,29.56,Malicious
67,24546.12,3306,TCP,366.36,Normal
362,45908.84,445,TCP,126.82,Suspicious
32,18314.88,3306,TCP,572.34,Normal
48,1636.8,445,TCP,34.1,Suspicious
120,11802.0,80,ICMP,98.35,Suspicious
204,19200.48,443,UDP,94.12,Suspicious
1664,1664,23,ICMP,1,Malicious
51,38189.31,3306,TCP,748.81,Normal
40,6064.0,445,UDP,151.6,Suspicious
179,21438.83,443,ICMP,119.77,Suspicious
2601,92309.49,3389,TCP,35.49,Malicious
11,8788.12,3306,TCP,798.92,Normal
246,22299.9,80,TCP,90.65,Suspicious
1880,96932.8,22,TCP,51.56,Malicious
1605,39948.45,22,TCP,24.89,Malicious
736,17318.08,22,TCP,23.53,Malicious
43,38573.15,80,TCP,897.05,Normal
859,40622.11,8080,ICMP,47.29,Malicious
34,15892.28,8080,TCP,467.42,Normal
60,38965.2,8080,TCP,649.42,Normal
53,17471.45,53,TCP,329.65,Normal
31,22241.26,8080,TCP,717.46,Normal
1999,61009.48,3389,UDP,30.52,Malicious
49,11011.77,53,TCP,224.73,Normal
190,1900,3389,UDP,10,Suspicious
34,26726.04,53,TCP,786.06,Normal
58,28740.16,80,UDP,495.52,Normal
57,52599.6,8080,TCP,922.8,Normal
312,79675.44,3389,TCP,255.37,Suspicious
57,38071.44,3306,TCP,667.92,Normal
1149,28093.05,22,UDP,24.45,Malicious
1545,53997.75,445,ICMP,34.95,Malicious
78,5236.92,443,TCP,67.14,Suspicious
43,33662.98,3306,TCP,782.86,Normal
8,3026.8,8080,TCP,378.35,Normal
35,35011.2,8080,TCP,1000.32,Normal
1902,93140.94,22,UDP,48.97,Malicious
62,28096.54,3306,TCP,453.17,Normal
1207,31297.51,8080,TCP,25.93,Malicious
1957,32133.94,23,UDP,16.42,Malicious
19,10101.73,80,TCP,531.67,Normal
216,27222.48,80,ICMP,126.03,Suspicious
1834,80604.3,8080,UDP,43.95,Malicious
316,62476.36,443,TCP,197.71,Suspicious
195,20921.55,80,TCP,107.29,Suspicious
1153,26173.1,8080,TCP,22.7,Malicious
26,13169.78,80,TCP,506.53,Normal
194,21322.54,443,TCP,109.91,Suspicious
2008,41043.52,8080,TCP,20.44,Malicious
2547,98008.56,8080,ICMP,38.48,Malicious
144,37981.44,80,ICMP,263.76,Suspicious
65,1855.75,23,UDP,28.55,Suspicious
190,28171.3,23,TCP,148.27,Suspicious
40,37592.4,80,TCP,939.81,Normal
2169,192845.79,23,TCP,88.91,Malicious
58,38898.28,53,UDP,670.66,Normal
1197,77613.48,8080,TCP,64.84,Malicious
31,8002.65,80,TCP,258.15,Normal
12,5726.76,3306,UDP,477.23,Normal
1253,10412.43,445,TCP,8.31,Malicious
2181,145145.55,3389,TCP,66.55,Malicious
592,30795.84,3389,TCP,52.02,Malicious
1722,32390.82,3389,ICMP,18.81,Malicious
2526,2526,445,TCP,1,Malicious
1921,69809.14,3389,UDP,36.34,Malicious
1975,145695.75,3389,ICMP,73.77,Malicious
2174,2174,8080,TCP,1,Malicious
38,17974.0,3306,UDP,473.0,Normal
